icao,iem_id,name,lat,lon,tz,country,cat_ils,cat_ils_confidence,size
OMAA,OMAA,Zayed International Airport,24.441,54.6492,Asia/Dubai,AE,CATIII,faa-c060,large
OMAD,OMAD,Al Bateen Executive Airport,24.4271,54.4599,Asia/Dubai,AE,CATI,assumed,large
OMAL,OMAL,Al Ain International Airport,24.2617,55.6092,Asia/Dubai,AE,CATI,assumed,large
OMDB,OMDB,Dubai International Airport,25.2498,55.371,Asia/Dubai,AE,CATIII,faa-c060,large
OMDW,OMDW,Al Maktoum International Airport,24.8962,55.1624,Asia/Dubai,AE,CATIII,faa-c060,large
OMFJ,OMFJ,Fujairah International Airport,25.1084,56.3281,Asia/Dubai,AE,CATI,assumed,large
OMRK,OMRK,Ras Al Khaimah International Airport,25.6135,55.9388,Asia/Dubai,AE,CATI,assumed,large
OMSJ,OMSJ,Sharjah International Airport,25.3286,55.5172,Asia/Dubai,AE,CATI,assumed,large
OAHR,OAHR,Herat - Khwaja Abdullah Ansari International Airport,34.21,62.2283,Asia/Kabul,AF,CATI,assumed,large
OAKB,OAKB,Kabul International Airport,34.5659,69.2123,Asia/Kabul,AF,CATI,assumed,large
OAKN,OAKN,Ahmad Shah Baba International Airport,31.5058,65.848,Asia/Kabul,AF,CATI,assumed,large
OAMS,OAMS,Mazar-i-Sharif International Airport,36.7041,67.2105,Asia/Kabul,AF,CATI,assumed,large
TAPA,TAPA,V. C. Bird International Airport,17.1367,-61.7927,America/Antigua,AG,CATI,assumed,large
LATI,LATI,Tirana International Airport Mother Teresa,41.4147,19.7206,Europe/Tirane,AL,CATI,assumed,large
UDSG,UDSG,Shirak International Airport,40.7504,43.8593,Asia/Yerevan,AM,CATI,assumed,large
UDYZ,UDYZ,Zvartnots International Airport,40.1489,44.3979,Asia/Yerevan,AM,CATI,assumed,large
FNBJ,FNBJ,Dr. Antonio Agostinho Neto International Airport,-9.0507,13.4991,Africa/Luanda,AO,CATI,assumed,large
FNLU,FNLU,Quatro de Fevereiro International Airport,-8.8584,13.2312,Africa/Luanda,AO,CATI,assumed,large
SAAR,SAAR,Rosario Islas Malvinas International Airport,-32.9036,-60.785,America/Argentina/Cordoba,AR,CATI,assumed,large
SABE,SABE,Aeroparque Jorge Newbery,-34.5594,-58.4155,America/Argentina/Buenos_Aires,AR,CATI,assumed,large
SACO,SACO,Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport,-31.3123,-64.2083,America/Argentina/Cordoba,AR,CATI,assumed,large
SAEZ,SAEZ,Ezeiza International Airport - Ministro Pistarini,-34.8222,-58.5358,America/Argentina/Buenos_Aires,AR,CATIII,faa-c060,large
SAME,SAME,Governor Francisco Gabrielli International Airport,-32.8317,-68.7929,America/Argentina/Mendoza,AR,CATI,assumed,large
SANT,SANT,Teniente Benjamín Matienzo International Airport,-26.8374,-65.1042,America/Argentina/Tucuman,AR,CATI,assumed,large
SARE,SARE,Resistencia International Airport,-27.4499,-59.0561,America/Argentina/Cordoba,AR,CATI,assumed,large
SASA,SASA,Martín Miguel de Güemes International Airport,-24.856,-65.4862,America/Argentina/Salta,AR,CATI,assumed,large
SASJ,SASJ,Gobernador Horacio Guzman International Airport,-24.3928,-65.0978,America/Argentina/Jujuy,AR,CATI,assumed,large
SAVC,SAVC,General Enrique Mosconi International Airport,-45.7869,-67.4634,America/Argentina/Catamarca,AR,CATI,assumed,large
SAWC,SAWC,El Calafate - Commander Armando Tola International Airport,-50.282,-72.0539,America/Argentina/Rio_Gallegos,AR,CATI,assumed,large
SAWG,SAWG,Piloto Civil Norberto Fernández International Airport,-51.6088,-69.3089,America/Argentina/Rio_Gallegos,AR,CATI,assumed,large
SAZN,SAZN,Presidente Perón International Airport,-38.949,-68.1557,America/Argentina/Salta,AR,CATI,assumed,large
SAZS,SAZS,Teniente Luis Candelaria International Airport,-41.1512,-71.1575,America/Argentina/Salta,AR,CATI,assumed,large
NSTU,PPG,Pago Pago International Airport,-14.331,-170.71,Pacific/Pago_Pago,AS,CATI,assumed,large
LOWG,LOWG,Graz Airport,46.9911,15.4396,Europe/Vienna,AT,CATIII,faa-c060,large
LOWI,LOWI,Innsbruck Airport,47.2602,11.344,Europe/Vienna,AT,CATI,assumed,large
LOWK,LOWK,Klagenfurt Airport,46.6425,14.3377,Europe/Vienna,AT,CATI,assumed,large
LOWL,LOWL,Linz-Hörsching Airport,48.2354,14.1881,Europe/Vienna,AT,CATIII,aip,large
LOWS,LOWS,Salzburg Airport,47.7933,13.0043,Europe/Vienna,AT,CATI,assumed,large
LOWW,LOWW,Vienna International Airport,48.1103,16.5697,Europe/Vienna,AT,CATIII,faa-c060,large
YBBN,YBBN,Brisbane International Airport,-27.3842,153.117,Australia/Brisbane,AU,CATI,assumed,large
YBCG,YBCG,Gold Coast Airport,-28.166,153.5066,Australia/Sydney,AU,CATI,assumed,large
YBCS,YBCS,Cairns International Airport,-16.8789,145.7495,Australia/Brisbane,AU,CATI,assumed,large
YBRM,YBRM,Broome International Airport,-17.9492,122.2283,Australia/Perth,AU,CATI,assumed,large
YBSU,YBSU,Sunshine Coast Airport,-26.5933,153.0832,Australia/Brisbane,AU,CATI,assumed,large
YBWW,YBWW,Toowoomba Wellcamp Airport,-27.5583,151.7933,Australia/Brisbane,AU,CATI,assumed,large
YMAV,YMAV,Melbourne Avalon International Airport,-38.0403,144.4672,Australia/Melbourne,AU,CATI,assumed,large
YMHB,YMHB,Hobart International Airport,-42.837,147.513,Australia/Hobart,AU,CATI,assumed,large
YMML,YMML,Melbourne Airport,-37.6707,144.8379,Australia/Melbourne,AU,CATIII,faa-c060,large
YPAD,YPAD,Adelaide International Airport,-34.9475,138.5334,Australia/Adelaide,AU,CATI,assumed,large
YPDN,YPDN,Darwin International Airport / RAAF Darwin,-12.415,130.8818,Australia/Darwin,AU,CATI,assumed,large
YPPD,YPPD,Port Hedland International Airport,-20.3828,118.6298,Australia/Perth,AU,CATI,assumed,large
YPPH,YPPH,Perth International Airport,-31.9403,115.967,Australia/Perth,AU,CATI,assumed,large
YSSY,YSSY,Sydney Kingsford Smith International Airport,-33.9461,151.177,Australia/Sydney,AU,CATII,faa-c060,large
YSWS,YSWS,[Duplicate] Western Sydney International Airport,-33.8881,150.7147,Australia/Sydney,AU,CATI,assumed,large
YWLM,YWLM,Newcastle Airport,-32.7961,151.835,Australia/Sydney,AU,CATI,assumed,large
TNCA,TNCA,Queen Beatrix International Airport,12.5011,-70.0143,America/Aruba,AW,CATI,assumed,large
UBBB,UBBB,Heydar Aliyev International Airport,40.4728,50.0509,Asia/Baku,AZ,CATIII,faa-c060,large
UBBG,UBBG,Ganja International Airport,40.7387,46.3204,Asia/Baku,AZ,CATI,assumed,large
UBBN,UBBN,Nakhchivan International Airport,39.1888,45.4584,Asia/Baku,AZ,CATI,assumed,large
LQBK,LQBK,Banja Luka International Airport,44.9414,17.2975,Europe/Sarajevo,BA,CATI,assumed,large
LQMO,LQMO,Mostar International Airport,43.2825,17.8461,Europe/Sarajevo,BA,CATI,assumed,large
LQSA,LQSA,Sarajevo International Airport,43.8246,18.3315,Europe/Sarajevo,BA,CATI,assumed,large
LQTZ,LQTZ,Tuzla International Airport,44.4599,18.7236,Europe/Sarajevo,BA,CATI,aip,large
TBPB,TBPB,Grantley Adams International Airport,13.0747,-59.491,America/Barbados,BB,CATI,assumed,large
VGEG,VGEG,Shah Amanat International Airport,22.2496,91.8133,Asia/Dhaka,BD,CATI,assumed,large
VGHS,VGHS,Hazrat Shahjalal International Airport,23.8433,90.3978,Asia/Dhaka,BD,CATI,assumed,large
VGSY,VGSY,Osmany International Airport,24.964,91.8647,Asia/Dhaka,BD,CATI,assumed,large
EBBR,EBBR,Brussels Airport,50.9014,4.4844,Europe/Brussels,BE,CATIII,faa-c060,large
EBCI,EBCI,Brussels South Charleroi Airport,50.462,4.4596,Europe/Brussels,BE,CATI,assumed,large
EBOS,EBOS,Ostend-Bruges International Airport,51.1998,2.8747,Europe/Brussels,BE,CATI,assumed,large
DFFD,DFFD,Ouagadougou Thomas Sankara International Airport,12.3532,-1.5124,Africa/Ouagadougou,BF,CATI,assumed,large
DFOO,DFOO,Bobo Dioulasso Airport,11.1601,-4.331,Africa/Ouagadougou,BF,CATI,assumed,large
LBBG,LBBG,Burgas Airport,42.5699,27.5152,Europe/Sofia,BG,CATI,assumed,large
LBPD,LBPD,Plovdiv International Airport,42.0678,24.8508,Europe/Sofia,BG,CATI,assumed,large
LBSF,LBSF,Sofia Airport,42.6964,23.4177,Europe/Sofia,BG,CATIII,faa-c060,large
LBWN,LBWN,Varna Airport,43.2321,27.8251,Europe/Sofia,BG,CATI,assumed,large
OBBI,OBBI,Bahrain International Airport,26.2673,50.6376,Asia/Bahrain,BH,CATI,assumed,large
HBBA,HBBA,Bujumbura Melchior Ndadaye International Airport,-3.324,29.3185,Africa/Bujumbura,BI,CATI,assumed,large
DBBB,DBBB,Cotonou Cadjehoun International Airport,6.3572,2.3843,Africa/Porto-Novo,BJ,CATI,assumed,large
TXKF,TXKF,L.F. Wade International Airport,32.3638,-64.6782,Atlantic/Bermuda,BM,CATI,assumed,large
WBSB,WBSB,Brunei International Airport,4.9442,114.928,Asia/Brunei,BN,CATI,assumed,large
SLAL,SLAL,Alcantarí International Airport,-19.2468,-65.1496,America/La_Paz,BO,CATI,assumed,large
SLCB,SLCB,Jorge Wilsterman International Airport,-17.4211,-66.1771,America/La_Paz,BO,CATI,assumed,large
SLLP,SLLP,El Alto International Airport,-16.5103,-68.1894,America/La_Paz,BO,CATI,assumed,large
SLOR,SLOR,Juan Mendoza International Airport,-17.9562,-67.0758,America/La_Paz,BO,CATI,assumed,large
SLUY,SLUY,Joya Andina International Airport,-20.4413,-66.8576,America/La_Paz,BO,CATI,assumed,large
SLVR,SLVR,Viru Viru International Airport,-17.6448,-63.1354,America/La_Paz,BO,CATI,assumed,large
TNCB,TNCB,Flamingo International Airport,12.131,-68.2685,America/Kralendijk,BQ,CATI,assumed,large
SBBE,SBBE,Val de Cans/Júlio Cezar Ribeiro International Airport,-1.3793,-48.4762,America/Belem,BR,CATI,assumed,large
SBBR,SBBR,Presidente Juscelino Kubitschek International Airport,-15.8692,-47.9208,America/Sao_Paulo,BR,CATI,assumed,large
SBBV,SBBV,Atlas Brasil Cantanhede International Airport,2.8462,-60.6906,America/Boa_Vista,BR,CATI,assumed,large
SBCF,SBCF,Tancredo Neves International Airport,-19.6357,-43.9669,America/Sao_Paulo,BR,CATI,assumed,large
SBCT,SBCT,Curitiba-Afonso Pena International Airport,-25.5285,-49.1758,America/Sao_Paulo,BR,CATII,faa-c060,large
SBCY,SBCY,Várzea Grande–Marechal Rondon International Airport,-15.6529,-56.1167,America/Cuiaba,BR,CATI,assumed,large
SBEG,SBEG,Eduardo Gomes International Airport,-3.0386,-60.0497,America/Manaus,BR,CATI,assumed,large
SBFI,SBFI,Cataratas International Airport,-25.5942,-54.4894,America/Sao_Paulo,BR,CATI,assumed,large
SBFL,SBFL,Hercílio Luz International Airport,-27.6703,-48.5525,America/Sao_Paulo,BR,CATI,assumed,large
SBFZ,SBFZ,Pinto Martins International Airport,-3.7758,-38.5322,America/Fortaleza,BR,CATI,assumed,large
SBGL,SBGL,Rio Galeão – Tom Jobim International Airport,-22.81,-43.2506,America/Sao_Paulo,BR,CATII,faa-c060,large
SBGO,SBGO,Santa Genoveva International Airport,-16.632,-49.2207,America/Sao_Paulo,BR,CATI,assumed,large
SBGR,SBGR,São Paulo/Guarulhos–Governor André Franco Montoro International Airport,-23.4313,-46.47,America/Sao_Paulo,BR,CATIII,faa-c060,large
SBJP,SBJP,Presidente Castro Pinto International Airport,-7.1487,-34.9506,America/Fortaleza,BR,CATI,assumed,large
SBKP,SBKP,Viracopos International Airport,-23.0074,-47.1345,America/Sao_Paulo,BR,CATI,assumed,large
SBMO,SBMO,Zumbi dos Palmares International Airport,-9.5126,-35.7918,America/Maceio,BR,CATI,assumed,large
SBNF,SBNF,Ministro Victor Konder International Airport,-26.8794,-48.651,America/Sao_Paulo,BR,CATI,assumed,large
SBPA,SBPA,Porto Alegre-Salgado Filho International Airport,-29.994,-51.1675,America/Sao_Paulo,BR,CATI,assumed,large
SBPS,SBPS,Porto Seguro International Airport,-16.4384,-39.0806,America/Bahia,BR,CATI,assumed,large
SBPV,SBPV,Governador Jorge Teixeira de Oliveira International Airport,-8.7085,-63.9023,America/Porto_Velho,BR,CATI,assumed,large
SBRB,SBRB,Rio Branco-Plácido de Castro International Airport,-9.869,-67.894,America/Rio_Branco,BR,CATI,assumed,large
SBRF,SBRF,Recife/Guararapes - Gilberto Freyre International Airport,-8.1275,-34.923,America/Recife,BR,CATI,assumed,large
SBRJ,SBRJ,Santos Dumont Airport,-22.9104,-43.1628,America/Sao_Paulo,BR,CATI,assumed,large
SBSG,SBSG,Rio Grande do Norte/São Gonçalo do Amarante–Governador Aluízio Alves International Airport,-5.7698,-35.3666,America/Fortaleza,BR,CATI,assumed,large
SBSL,SBSL,Marechal Cunha Machado International Airport,-2.5864,-44.235,America/Fortaleza,BR,CATI,assumed,large
SBSP,SBSP,Congonhas–Deputado Freitas Nobre Airport,-23.6277,-46.6546,America/Sao_Paulo,BR,CATI,assumed,large
SBSV,SBSV,Deputado Luiz Eduardo Magalhães International Airport,-12.9086,-38.3225,America/Bahia,BR,CATI,assumed,large
SBVT,SBVT,Eurico de Aguiar Salles International Airport,-20.258,-40.285,America/Sao_Paulo,BR,CATI,assumed,large
MYGF,MYGF,Grand Bahama International Airport,26.558,-78.6956,America/Nassau,BS,CATI,assumed,large
MYNN,MYNN,Lynden Pindling International Airport,25.039,-77.4662,America/Nassau,BS,CATI,assumed,large
MYSM,MYSM,San Salvador International Airport,24.063,-74.5232,America/Nassau,BS,CATI,assumed,large
VQPR,VQPR,Paro International Airport,27.4032,89.4246,Asia/Thimphu,BT,CATI,assumed,large
FBKE,FBKE,Kasane International Airport,-17.8317,25.1662,Africa/Gaborone,BW,CATI,assumed,large
FBMN,FBMN,Maun International Airport,-19.9705,23.4314,Africa/Gaborone,BW,CATI,assumed,large
FBPM,FBPM,Phillip Gaonwe Matante International Airport,-21.1592,27.4688,Africa/Gaborone,BW,CATI,assumed,large
FBSK,FBSK,Sir Seretse Khama International Airport,-24.5552,25.9182,Africa/Gaborone,BW,CATI,assumed,large
UMBB,UMBB,Brest International Airport,52.1081,23.8968,Europe/Minsk,BY,CATI,assumed,large
UMMS,UMMS,Minsk National Airport,53.8881,28.04,Europe/Minsk,BY,CATI,assumed,large
MZBZ,MZBZ,Philip S. W. Goldson International Airport,17.54,-88.3036,America/Belize,BZ,CATI,assumed,large
CYEG,CYEG,Edmonton International Airport,53.3097,-113.58,America/Edmonton,CA,CATI,assumed,large
CYHZ,CYHZ,Halifax / Stanfield International Airport,44.8808,-63.5086,America/Halifax,CA,CATII,faa-c060,large
CYLW,CYLW,Kelowna International Airport,49.9561,-119.378,America/Vancouver,CA,CATI,assumed,large
CYOW,CYOW,Ottawa Macdonald-Cartier International Airport,45.3225,-75.6692,America/Toronto,CA,CATI,assumed,large
CYQB,CYQB,Quebec Jean Lesage International Airport,46.7911,-71.3933,America/Toronto,CA,CATI,assumed,large
CYUL,CYUL,Montreal / Pierre Elliott Trudeau International Airport,45.4678,-73.7423,America/Toronto,CA,CATII,faa-c060,large
CYVR,CYVR,Vancouver International Airport,49.1939,-123.184,America/Vancouver,CA,CATIII,faa-c060,large
CYWG,CYWG,Winnipeg / James Armstrong Richardson International Airport,49.91,-97.2399,America/Winnipeg,CA,CATII,faa-c060,large
CYXE,CYXE,Saskatoon John G. Diefenbaker International Airport,52.1707,-106.7008,America/Regina,CA,CATI,assumed,large
CYYC,CYYC,Calgary International Airport,51.1188,-114.0099,America/Edmonton,CA,CATIII,faa-c060,large
CYYJ,CYYJ,Victoria International Airport,48.6472,-123.4278,America/Vancouver,CA,CATI,assumed,large
CYYT,CYYT,St. John's International Airport,47.6186,-52.7519,America/St_Johns,CA,CATIII,faa-c060,large
CYYZ,CYYZ,Toronto Pearson International Airport,43.6759,-79.6294,America/Toronto,CA,CATIII,faa-c060,large
YPCC,YPCC,Cocos (Keeling) Islands Airport,-12.1922,96.8341,Indian/Cocos,CC,CATI,assumed,large
FZAA,FZAA,Ndjili International Airport,-4.3857,15.4446,Africa/Kinshasa,CD,CATI,assumed,large
FZIC,FZIC,Bangoka International Airport,0.4816,25.338,Africa/Lubumbashi,CD,CATI,assumed,large
FZNA,FZNA,Goma International Airport,-1.6668,29.238,Africa/Lubumbashi,CD,CATI,assumed,large
FZQA,FZQA,Lubumbashi International Airport,-11.5915,27.5308,Africa/Lubumbashi,CD,CATI,assumed,large
FEFF,FEFF,Bangui M'Poko International Airport,4.3985,18.5188,Africa/Bangui,CF,CATI,assumed,large
FCBB,FCBB,Maya-Maya International Airport,-4.2517,15.253,Africa/Brazzaville,CG,CATI,assumed,large
FCPP,FCPP,Antonio Agostinho-Neto International Airport,-4.816,11.8866,Africa/Brazzaville,CG,CATI,assumed,large
LSGG,LSGG,Geneva International Airport,46.2381,6.109,Europe/Zurich,CH,CATIII,faa-c060,large
LSZH,LSZH,Zürich Airport,47.4581,8.5481,Europe/Zurich,CH,CATIII,faa-c060,large
DIAP,DIAP,Félix-Houphouët-Boigny International Airport,5.2614,-3.9263,Africa/Abidjan,CI,CATI,assumed,large
DIYO,DIYO,Yamoussoukro International Airport,6.9032,-5.3656,Africa/Abidjan,CI,CATI,assumed,large
NCRG,NCRG,Rarotonga International Airport,-21.2027,-159.806,Pacific/Rarotonga,CK,CATI,assumed,large
SCCI,SCCI,President Carlos Ibáñez International Airport,-53.0026,-70.8546,America/Punta_Arenas,CL,CATI,assumed,large
SCDA,SCDA,Diego Aracena International Airport,-20.5363,-70.1814,America/Santiago,CL,CATI,assumed,large
SCEL,SCEL,Comodoro Arturo Merino Benítez International Airport,-33.393,-70.7858,America/Santiago,CL,CATIII,faa-c060,large
SCFA,SCFA,Andrés Sabella Gálvez International Airport,-23.4453,-70.4452,America/Santiago,CL,CATI,assumed,large
SCIE,SCIE,Carriel Sur International Airport,-36.7724,-73.0628,America/Santiago,CL,CATI,assumed,large
SCIP,SCIP,Mataveri International Airport,-27.1654,-109.421,Pacific/Easter,CL,CATI,assumed,large
SCQP,SCQP,La Araucanía International Airport,-38.9259,-72.6515,America/Santiago,CL,CATIII,aip,large
SCTE,SCTE,El Tepual International Airport,-41.4431,-73.0941,America/Santiago,CL,CATI,assumed,large
FKKD,FKKD,Douala International Airport,4.0061,9.7195,Africa/Douala,CM,CATI,assumed,large
FKKR,FKKR,Garoua International Airport,9.3348,13.3721,Africa/Douala,CM,CATI,assumed,large
FKYS,FKYS,Yaoundé Nsimalen International Airport,3.7226,11.5533,Africa/Douala,CM,CATI,assumed,large
ZBAA,ZBAA,Beijing Capital International Airport,40.0773,116.5967,Asia/Shanghai,CN,CATIII,faa-c060,large
ZBAD,ZBAD,Beijing Daxing International Airport,39.5013,116.414,Asia/Shanghai,CN,CATI,assumed,large
ZBDS,ZBDS,Ordos Ejin Horo International Airport,39.4935,109.8599,Asia/Shanghai,CN,CATI,assumed,large
ZBDT,ZBDT,Datong Yungang International Airport,40.0614,113.4805,Asia/Shanghai,CN,CATI,assumed,large
ZBHH,ZBHH,Hohhot Baita International Airport,40.8497,111.8246,Asia/Shanghai,CN,CATI,assumed,large
ZBLA,ZBLA,Hulunbuir Hailar Airport,49.2086,119.8223,Asia/Shanghai,CN,CATI,assumed,large
ZBOW,ZBOW,Baotou Donghe International Airport,40.56,109.997,Asia/Shanghai,CN,CATI,assumed,large
ZBSJ,ZBSJ,Shijiazhuang Zhengding International Airport,38.2807,114.697,Asia/Shanghai,CN,CATI,assumed,large
ZBTJ,ZBTJ,Tianjin Binhai International Airport,39.1244,117.346,Asia/Shanghai,CN,CATI,assumed,large
ZBYC,ZBYC,Yuncheng Yanhu International Airport,35.1178,111.034,Asia/Shanghai,CN,CATI,assumed,large
ZBYN,ZBYN,Taiyuan Wusu International Airport,37.7469,112.628,Asia/Shanghai,CN,CATI,assumed,large
ZGDY,ZGDY,Zhangjiajie Hehua International Airport,29.1047,110.4428,Asia/Shanghai,CN,CATI,assumed,large
ZGGG,ZGGG,Guangzhou Baiyun International Airport,23.3924,113.299,Asia/Shanghai,CN,CATI,assumed,large
ZGHA,ZGHA,Changsha Huanghua International Airport,28.1892,113.22,Asia/Shanghai,CN,CATI,assumed,large
ZGKL,ZGKL,Guilin Liangjiang International Airport,25.2198,110.0396,Asia/Shanghai,CN,CATI,assumed,large
ZGNN,ZGNN,Nanning Wuxu International Airport,22.5981,108.1819,Asia/Shanghai,CN,CATI,assumed,large
ZGOW,ZGOW,Jieyang Chaoshan International Airport,23.552,116.5033,Asia/Shanghai,CN,CATI,assumed,large
ZGSD,ZGSD,Zhuhai Jinwan Airport,22.0064,113.376,Asia/Shanghai,CN,CATI,assumed,large
ZGSZ,ZGSZ,Shenzhen Bao'an International Airport,22.6395,113.8033,Asia/Shanghai,CN,CATI,assumed,large
ZGZJ,ZGZJ,Zhanjiang Wuchuan International Airport,21.4817,110.5903,Asia/Shanghai,CN,CATI,assumed,large
ZHCC,ZHCC,Zhengzhou Xinzheng International Airport,34.5265,113.8492,Asia/Shanghai,CN,CATII,faa-c060,large
ZHEC,ZHEC,Ezhou Huahu International Airport,30.3412,115.0393,Asia/Shanghai,CN,CATI,assumed,large
ZHHH,ZHHH,Wuhan Tianhe International Airport,30.7748,114.2137,Asia/Shanghai,CN,CATI,assumed,large
ZHLY,ZHLY,Luoyang Beijiao Airport,34.7411,112.388,Asia/Shanghai,CN,CATI,assumed,large
ZJHK,ZJHK,Haikou Meilan International Airport,19.9349,110.459,Asia/Shanghai,CN,CATI,assumed,large
ZJSY,ZJSY,Sanya Phoenix International Airport,18.3029,109.412,Asia/Shanghai,CN,CATI,assumed,large
ZLDH,ZLDH,Dunhuang Mogao International Airport,40.162,94.8128,Asia/Shanghai,CN,CATI,assumed,large
ZLIC,ZLIC,Yinchuan Hedong International Airport,38.3228,106.3932,Asia/Shanghai,CN,CATI,assumed,large
ZLJQ,ZLJQ,Jiayuguan International Airport,39.8591,98.3393,Asia/Shanghai,CN,CATI,assumed,large
ZLLL,ZLLL,Lanzhou Zhongchuan International Airport,36.5152,103.62,Asia/Shanghai,CN,CATI,assumed,large
ZLXN,ZLXN,Xining Caojiabao International Airport,36.5277,102.0402,Asia/Shanghai,CN,CATI,assumed,large
ZLXY,ZLXY,Xi'an Xianyang International Airport,34.4422,108.7624,Asia/Shanghai,CN,CATII,faa-c060,large
ZPJH,ZPJH,Xishuangbanna Gasa International Airport,21.9746,100.7622,Asia/Shanghai,CN,CATI,assumed,large
ZPLJ,ZPLJ,Lijiang Sanyi International Airport,26.6775,100.2449,Asia/Shanghai,CN,CATI,assumed,large
ZPPP,ZPPP,Kunming Changshui International Airport,25.1103,102.9367,Asia/Shanghai,CN,CATI,assumed,large
ZSAM,ZSAM,Xiamen Gaoqi International Airport,24.5439,118.1275,Asia/Shanghai,CN,CATI,assumed,large
ZSCN,ZSCN,Nanchang Changbei International Airport,28.8648,115.9027,Asia/Shanghai,CN,CATI,assumed,large
ZSFZ,ZSFZ,Fuzhou Changle International Airport,25.9293,119.6725,Asia/Shanghai,CN,CATI,assumed,large
ZSHC,ZSHC,Hangzhou Xiaoshan International Airport,30.2361,120.4289,Asia/Shanghai,CN,CATII,faa-c060,large
ZSJN,ZSJN,Jinan Yaoqiang International Airport,36.8572,117.216,Asia/Shanghai,CN,CATI,assumed,large
ZSLG,ZSLG,Lianyungang Huaguoshan International Airport,34.4141,119.179,Asia/Shanghai,CN,CATI,assumed,large
ZSNB,ZSNB,Ningbo Lishe International Airport,29.8267,121.462,Asia/Shanghai,CN,CATI,assumed,large
ZSNJ,ZSNJ,Nanjing Lukou International Airport,31.735,118.8659,Asia/Shanghai,CN,CATII,faa-c060,large
ZSOF,ZSOF,Hefei Xinqiao International Airport,31.9878,116.9769,Asia/Shanghai,CN,CATI,assumed,large
ZSPD,ZSPD,Shanghai Pudong International Airport,31.1434,121.805,Asia/Shanghai,CN,CATIII,faa-c060,large
ZSQD,ZSQD,Qingdao Jiaodong International Airport,36.362,120.0882,Asia/Shanghai,CN,CATII,faa-c060,large
ZSQZ,ZSQZ,Quanzhou Jinjiang International Airport,24.7959,118.5886,Asia/Shanghai,CN,CATI,assumed,large
ZSSH,ZSSH,Huai'an Lianshui Airport,33.7927,119.1267,Asia/Shanghai,CN,CATI,assumed,large
ZSSS,ZSSS,Shanghai Hongqiao International Airport,31.1981,121.3343,Asia/Shanghai,CN,CATI,assumed,large
ZSTX,ZSTX,Huangshan Tunxi International Airport,29.7333,118.256,Asia/Shanghai,CN,CATI,assumed,large
ZSWX,ZSWX,Sunan Shuofang International Airport,31.497,120.4304,Asia/Shanghai,CN,CATI,assumed,large
ZSWZ,ZSWZ,Wenzhou Longwan International Airport,27.9106,120.8535,Asia/Shanghai,CN,CATI,assumed,large
ZSYN,ZSYN,Yancheng Nanyang International Airport,33.4283,120.2054,Asia/Shanghai,CN,CATI,assumed,large
ZSYT,ZSYT,Yantai Penglai International Airport,37.6597,120.9781,Asia/Shanghai,CN,CATI,assumed,large
ZSYW,ZSYW,Yiwu Airport,29.3421,120.0312,Asia/Shanghai,CN,CATI,assumed,large
ZSZS,ZSZS,Zhoushan Putuoshan International Airport,29.9339,122.3623,Asia/Shanghai,CN,CATI,assumed,large
ZUCK,ZUCK,Chongqing Jiangbei International Airport,29.7123,106.6519,Asia/Shanghai,CN,CATI,assumed,large
ZUGY,ZUGY,Guiyang Longdongbao International Airport,26.5418,106.804,Asia/Shanghai,CN,CATI,assumed,large
ZULS,ZULS,Lhasa Gonggar International Airport,29.298,90.912,Asia/Shanghai,CN,CATI,assumed,large
ZURK,ZURK,Xigaze Peace Airport / Shigatse Air Base,29.3509,89.2992,Asia/Shanghai,CN,CATI,assumed,large
ZUTF,ZUTF,Chengdu Tianfu International Airport,30.3125,104.4413,Asia/Shanghai,CN,CATI,assumed,large
ZUUU,ZUUU,Chengdu Shuangliu International Airport,30.5583,103.946,Asia/Shanghai,CN,CATII,faa-c060,large
ZWSH,ZWSH,Kashgar Laining International Airport,39.5423,76.0202,Asia/Urumqi,CN,CATI,assumed,large
ZWWW,ZWWW,Ürümqi Tianshan International Airport,43.9136,87.4794,Asia/Urumqi,CN,CATIII,faa-c060,large
ZYCC,ZYCC,Changchun Longjia International Airport,43.9962,125.685,Asia/Shanghai,CN,CATI,assumed,large
ZYHB,ZYHB,Harbin Taiping International Airport,45.6234,126.25,Asia/Shanghai,CN,CATI,assumed,large
ZYQQ,ZYQQ,Qiqihar Sanjiazi Airport,47.23,123.9142,Asia/Shanghai,CN,CATI,assumed,large
ZYTL,ZYTL,Dalian Zhoushuizi International Airport,38.9657,121.5385,Asia/Shanghai,CN,CATI,assumed,large
ZYTX,ZYTX,Shenyang Taoxian International Airport,41.6398,123.4837,Asia/Shanghai,CN,CATI,assumed,large
SKBO,SKBO,El Dorado International Airport,4.7016,-74.1469,America/Bogota,CO,CATIII,faa-c060,large
SKBQ,SKBQ,Ernesto Cortissoz International Airport,10.8896,-74.7808,America/Bogota,CO,CATI,assumed,large
SKCG,SKCG,Rafael Nuñez International Airport,10.4424,-75.513,America/Bogota,CO,CATI,assumed,large
SKCL,SKCL,Alfonso Bonilla Aragon International Airport,3.5427,-76.3819,America/Bogota,CO,CATI,assumed,large
SKRG,SKRG,Jose Maria Córdova International Airport,6.1645,-75.4231,America/Bogota,CO,CATI,assumed,large
SKSP,SKSP,Gustavo Rojas Pinilla International Airport,12.5836,-81.7112,America/Bogota,CO,CATI,assumed,large
