icao,lpv_class
LFML,LPV200
LFMN,LPV200
LFMP,LPV
LFMT,LPV200
LFMU,LPV
LFMV,LPV200
LFNB,LPV
LFOB,LPV200
LFOH,LPV200
LFOK,LPV
LFOQ,LPV200
LFOT,LPV200
LFOU,LPV
LFOV,LPV
LFOZ,LPV200
LFPB,LPV200
LFPG,LPV200
LFPM,LPV200
LFPN,LPV200
LFPO,LPV200
LFPT,LPV200
LFQA,LPV
LFQB,LPV200
LFQG,LPV
LFQM,LPV
LFQQ,LPV
LFQT,LPV
LFRB,LPV200
LFRC,LPV200
LFRD,LPV200
LFRG,LPV200
LFRI,LPV200
LFRK,LPV200
LFRM,LPV
LFRN,LPV
LFRO,LPV200
LFRQ,LPV200
LFRS,LPV
LFRT,LPV200
LFRU,LPV
LFRV,LPV
LFRZ,LPV200
LFSB,LPV
LFSD,LPV
LFSG,LPV
LFSL,LPV200
LFSN,LPV200
LFST,LPV200
LFTW,LPV200
LGAV,LPV200
LGIO,LPV
LGKO,LPV
LGMK,LPV200
LGMT,LPV
LGTS,LPV
LHBC,LPV
LHBP,LPV200
LHDC,LPV
LHNY,LPV
LHPP,LPV200
LHPR,LPV200
LHSM,LPV200
LIBC,LPV200
LIBD,LPV200
LIBG,LPV200
LIBP,LPV200
LIBR,LPV200
LICA,LPV200
LICD,LPV200
LICG,LPV200
LICJ,LPV
LICR,LPV200
LIDT,LPV200
LIEA,LPV
LIEO,LPV200
LIKA,LPV200
LIKB,LPV200
LIKC,LPV200
LIMC,LPV200
LIME,LPV200
LIMF,LPV200
LIMG,LPV200
LIMJ,LPV200
LIML,LPV
LIMP,LPV200
LIMZ,LPV200
LIPE,LPV
LIPK,LPV200
LIPO,LPV200
LIPQ,LPV200
LIPR,LPV200
LIPX,LPV200
LIPY,LPV200
LIPZ,LPV
LIRA,LPV200
LIRF,LPV200
LIRI,LPV200
LIRN,LPV200
LIRQ,LPV200
LJCE,LPV200
LJLJ,LPV
LJMB,LPV200
LJPZ,LPV
LKCS,LPV200
LKKU,LPV
LKKV,LPV
LKMT,LPV200
LKPR,LPV200
LKTB,LPV200
LKVO,LPV200
LMML,LPV200
LOWG,LPV200
LOWI,LPV200
LOWK,LPV200
LOWL,LPV200
LOWS,LPV200
LOWW,LPV200
LPCS,LPV
LPFR,LPV200
LPPR,LPV200
LPPS,LPV
LPPT,LPV
LRBC,LPV
LRBM,LPV200
LRBV,LPV200
LRCK,LPV
LRCL,LPV
LRCV,LPV200
LRIA,LPV
LRSM,LPV200
LRSV,LPV
LRTC,LPV
LSGC,LPV200
LSGG,LPV200
LSMD,LPV200
LSME,LPV200
LSMP,LPV200
LSZB,LPV200
LSZG,LPV200
LSZH,LPV200
LSZR,LPV
LYBE,LPV200
LYBT,LPV200
LYKV,LPV200
LYNI,LPV200
LYPG,LPV200
LYUZ,LPV200
LZIB,LPV200
LZKZ,LPV200
LZPP,LPV200
LZTT,LPV200
LZZI,LPV200
