icao
00U
03D
05U
06A
06D
07K
08D
08K
09A
09J
0A3
0B4
0C4
0E0
0F2
0F4
0G3
0G6
0G7
0M0
0M4
0R0
0R1
0R4
0R7
0V3
0V4
0VG
0W3
10U
11A
11R
12J
12K
15J
16D
16G
17J
18A
1A9
1B1
1B9
1D8
1G0
1G3
1H0
1H2
1I9
1K8
1M4
1M5
1M7
1O4
1QK
1R8
1S3
1U7
1V6
20N
20U
20V
21D
24J
26R
27K
28J
2A0
2B7
2C8
2F7
2G2
2G4
2G9
2I0
2J3
2J5
2J9
2K4
2M0
2M2
2M8
2R2
2R5
2V6
2W6
33V
39N
3AU
3B0
3B1
3F7
3H4
3K3
3K7
3K8
3LF
3M7
3MY
3N8
3P3
3R4
3R7
3T3
3T5
3Y2
41U
42A
44N
46D
47V
48A
48K
49A
49B
4A4
4A5
4A9
4B6
4C8
4D9
4E7
4I3
4J1
4J2
4M3
4M7
4O4
4T2
4U6
4V0
4V1
4V9
50I
50R
51D
57C
5A4
5B2
5C8
5K2
5L0
5M1
5N8
5R4
5R8
5T9
60R
6A1
6A2
6E5
6G1
6I2
6J0
6K3
6K4
6L3
6L4
6M6
6M7
6R3
6S0
6S8
70J
71J
74V
77G
77S
79J
7A3
7L2
7S0
7S6
7V7
80F
81R
82V
84D
84R
87I
8A1
8D1
8D3
8G2
8M1
8V2
8V3
8WC
93Y
94K
97M
9A4
9D0
9D1
9D4
9D7
9D9
9K7
9M8
9V5
9V6
A08
C04
C15
C17
C25
C29
C65
C73
C80
C83
D05
D09
D39
D50
D55
D57
D60
E06
E11
E16
E30
E38
F00
F05
F22
F45
F49
F70
F82
F98
H19
H34
H71
H88
I17
I22
I23
I34
I40
I63
I66
I68
I74
I75
I76
I93
K01
K24
K38
K61
K78
K79
K81
K82
K88
K89
KAAF
KAAO
KAAS
KAAT
KABE
KABI
KABQ
KABR
KABY
KACB
KACJ
KACK
KACQ
KACT
KACV
KACY
KACZ
KADC
KADF
KADG
KADH
KADM
KADS
KADT
KAEG
KAEL
KAEX
KAFJ
KAFK
KAFO
KAFP
KAFW
KAGC
KAGS
KAGZ
KAHN
KAHQ
KAIA
KAID
KAIG
KAIK
KAIO
KAIT
KAIZ
KAJG
KAJR
KAJZ
KAKH
KAKO
KALB
KALI
KALM
KALN
KALO
KALS
KALW
KALX
KAMA
KAMG
KAMN
KAMW
KANB
KAND
KANE
KANJ
KANW
KANY
KAOH
KAOO
KAPA
KAPC
KAPF
KAPN
KAPS
KAPV
KAQX
KARA
KARB
KARG
KARM
KARR
KART
KARV
KARW
KASG
KASH
KASJ
KASL
KASN
KAST
KASW
KASX
KASY
KATL
KATS
KATW
KATY
KAUG
KAUH
KAUM
KAUN
KAUO
KAUS
KAUW
KAVC
KAVK
KAVL
KAVO
KAVP
KAWG
KAWM
KAWO
KAXA
KAXH
KAXN
KAXQ
KAXS
KAXV
KAYS
KAZC
KAZO
KBAC
KBAF
KBAK
KBAM
KBAX
KBAZ
KBBB
KBBD
KBBG
KBBP
KBBW
KBCB
KBCE
KBCK
KBCR
KBCT
KBDE
KBDG
KBDH
KBDL
KBDN
KBDR
KBEA
KBEC
KBED
KBEH
KBFD
KBFE
KBFF
KBFI
KBFL
KBFM
KBFZ
KBGD
KBGE
KBGF
KBGM
KBGR
KBHB
KBHC
KBHK
KBHM
KBID
KBIE
KBIJ
KBIL
KBIS
KBIV
KBJC
KBJI
KBJJ
KBKE
KBKN
KBKS
KBKT
KBKV
KBKW
KBKX
KBLF
KBLI
KBLM
KBLV
KBMG
KBMI
KBMT
KBNA
KBNL
KBNW
KBOI
KBOS
KBOW
KBPG
KBPK
KBPT
KBQK
KBQP
KBQR
KBRD
KBRL
KBRO
KBRY
KBST
KBTA
KBTL
KBTM
KBTP
KBTR
KBTV
KBUB
KBUF
KBUM
KBUY
KBVI
KBVN
KBVO
KBVS
KBVX
KBWD
KBWG
KBWI
KBWP
KBWW
KBXA
KBXG
KBXK
KBXM
KBYG
KBYH
KBYL
KBYY
KBZN
KCAD
KCAE
KCAK
KCAO
KCAR
KCAV
KCBE
KCBF
KCBK
KCCO
KCCR
KCCY
KCDC
KCDH
KCDN
KCDR
KCDS
KCDW
KCEC
KCEK
KCEU
KCEV
KCEW
KCEY
KCEZ
KCFD
KCFJ
KCFO
KCFV
KCGE
KCGF
KCGI
KCGZ
KCHA
KCHD
KCHK
KCHO
KCHS
KCHT
KCIC
KCID
KCII
KCIN
KCIU
KCJR
KCKB
KCKC
KCKF
KCKI
KCKM
KCKN
KCKP
KCKV
KCLE
KCLI
KCLK
KCLL
KCLM
KCLS
KCLT
KCMA
KCMD
KCMH
KCMI
KCMR
KCMX
KCMY
KCNB
KCNI
KCNK
KCNM
KCNO
KCNW
KCOD
KCOE
KCOI
KCOM
KCON
KCOQ
KCOS
KCOT
KCOU
KCPC
KCPF
KCPK
KCPP
KCPR
KCPS
KCPT
KCQA
KCQF
KCQW
KCRE
KCRG
KCRP
KCRQ
KCRW
KCRX
KCSB
KCSG
KCSM
KCSQ
KCSV
KCTB
KCTJ
KCTK
KCTY
KCTZ
KCUB
KCUH
KCUL
KCVB
KCVC
KCVG
KCVH
KCVN
KCVO
KCVX
KCWA
KCWC
KCWF
KCWI
KCWV
KCXO
KCXU
KCXW
KCXY
KCYO
KCYS
KCZD
KCZL
KCZT
KDAB
KDAG
KDAL
KDAN
KDAW
KDAY
KDBN
KDBQ
KDCA
KDCM
KDCU
KDCY
KDDC
KDEC
KDED
KDEH
KDEN
KDET
KDEW
KDFW
KDGW
KDHN
KDHT
KDIK
KDJT
KDKB
KDLH
KDLL
KDLN
KDLZ
KDMN
KDMO
KDMW
KDNL
KDNN
KDNS
KDNV
KDPA
KDPL
KDQH
KDRO
KDRP
KDRT
KDSM
KDTA
KDTL
KDTN
KDTO
KDTS
KDTW
KDUA
KDUB
KDUC
KDUJ
KDVK
KDVL
KDVN
KDVT
KDWA
KDWH
KDWU
KDXE
KDXR
KDXX
KDYA
KDYB
KDYR
KEAG
KEAN
KEAR
KEAU
KEBG
KEBS
KECG
KECP
KECS
KEDC
KEDE
KEDJ
KEDN
KEDU
KEEN
KEET
KEFC
KEFD
KEFK
KEFW
KEGT
KEGV
KEHA
KEHO
KEHR
KEIW
KEKM
KEKQ
KEKS
KEKX
KEKY
KELD
KELK
KELM
KELO
KELP
KELY
KELZ
KEMM
KEMP
KEMV
KENL
KENV
KENW
KEOK
KEOS
KEPH
KEPM
KEQA
KEQY
KERI
KERV
KERY
KESC
KESF
KESN
KEST
KETB
KEUF
KEUG
KEUL
KEVB
KEVM
KEVU
KEVV
KEVW
KEVY
KEWB
KEWK
KEWN
KEWR
KEXX
KEYE
KEYF
KEYW
KEZI
KEZM
KEZS
KEZZ
KFAM
KFAR
KFAT
KFAY
KFBL
KFBY
KFCH
KFCI
KFCM
KFDK
KFDR
KFDW
KFDY
KFEP
KFET
KFFC
KFFL
KFFM
KFFT
KFFX
KFGX
KFHB
KFHR
KFHU
KFIG
KFIN
KFIT
KFKA
KFKL
KFKR
KFLD
KFLG
KFLL
KFLO
KFLP
KFLY
KFMH
KFMM
KFMN
KFMY
KFMZ
KFNB
KFNL
KFNT
KFOA
KFOD
KFOE
KFOK
KFOM
KFPR
KFPY
KFQD
KFRG
KFRH
KFRM
KFSD
KFSK
KFSM
KFSO
KFST
KFSW
KFTT
KFTW
KFTY
KFVE
KFVX
KFWA
KFWB
KFWQ
